SKU,Slug,Name,Selling Price,Compare Price,Cost Price,Collection,Category,Sub Category,Size,Dimensions,Color,Material,Plating,Weight,Stock,Tag,Description,Short Description,Images,Image Count,Status
MLM-DE-0003,mlm-de-0003,The Juliet,899,1099,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,6,,,,MLM-DE-0003_00|MLM-DE-0003_01|MLM-DE-0003_02,3,active
MLM-DE-0004,mlm-de-0004,Aaram,799,999,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,9,,,,MLM-DE-0004|MLM-DE-0004_01,2,active
MLM-DE-0005,mlm-de-0005,Tara,799,999,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,5,,,,MLM-DE-0005|MLM-DE-0005_01,2,active
MLM-DE-0006,mlm-de-0006,Phool,799,999,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,11,,,,MLM-DE-0006_00|MLM-DE-0006_01|MLM-DE-0006_02|MLM-DE-0006_03|MLM-DE-0006_04|MLM-DE-0006_05|MLM-DE-0006_06,7,active
MLM-DE-0008,mlm-de-0008,Regular Drop,699,999,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,2,,,,MLM-DE-0008|MLM-DE-0008_01,2,active
MLM-DE-0009,mlm-de-0009,The Emily,899,1099,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,3,,,,MLM-DE-0009|MLM-DE-0009_01|MLM-DE-0009_02|MLM-DE-0009_03|MLM-DE-0009_04,5,active
MLM-DE-0010,mlm-de-0010,The Rose,899,1099,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,0,,,,MLM-DE-0010|MLM-DE-0010_01,2,active
MLM-DE-0011,mlm-de-0011,The Jade,799,999,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,9,,,,MLM-DE-0011|MLM-DE-0011_01|MLM-DE-0011_02,3,active
MLM-DE-0012,mlm-de-0012,Celestial Moon,799,999,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,3,,,,MLM-DE-0012,1,active
MLM-DE-0013,mlm-de-0013,Main Character Heart Hoops,699,999,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,2,,,,MLM-DE-0013|MLM-DE-0013_01,2,active
MLM-DE-0014,mlm-de-0014,Main Character Classic Round Hoops,699,999,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,2,,,,MLM-DE-0014|MLM-DE-0014_01,2,active
MLM-DE-0015,mlm-de-0015,Main Character Hoops 3,699,999,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,2,,,,MLM-DE-0015,1,active
MLM-DE-0016,mlm-de-0016,Main Character Hoops 4,699,999,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,2,,,,MLM-DE-0016,1,new
MLM-DE-0017,mlm-de-0017,Main Character Hoop Bubble,699,999,,diva,earrings,,,,Gold,Stainless Steel,18K Gold Plated,,2,,,,MLM-DE-0017,1,active
MLM-DB-0033,mlm-db-0033,,,,,diva,bracelets,,,,Gold,Stainless Steel,18K Gold Plated,,,,,,MLM-DB-0033,,new
MLM-DB-0034,mlm-db-0034,,,,,diva,bracelets,,,,Gold,Stainless Steel,18K Gold Plated,,,,,,MLM-DB-0034,,new
MLM-DB-0035,mlm-db-0035,,,,,diva,bracelets,,,,Gold,Stainless Steel,18K Gold Plated,,,,,,MLM-DB-0035,,new
MLM-DB-0036,mlm-db-0036,,,,,diva,bracelets,,,,Gold,Stainless Steel,18K Gold Plated,,,,,,MLM-DB-0036,,new
MLM-DB-0037,mlm-db-0037,,,,,diva,bracelets,,,,Gold,Stainless Steel,18K Gold Plated,,,,,,MLM-DB-0037,,new
MLM-DB-0039,mlm-db-0039,,,,,diva,bracelets,,,,Gold,Stainless Steel,18K Gold Plated,,,,,,MLM-DB-0038,,new
